freq,C4,C3,CZ,1-2C_R,1-2B_R,1-2A_R,2C-3C_R,2B-3B_R,2A-3A_R,4-3C_R,4-3B_R,4-3A_R,1-2C_L,1-2B_L,1-2A_L,2C-3C_L,2B-3B_L,2A-3A_L,4-3C_L,4-3B_L,4-3A_L
6.5,1.3642859894419248e-12,1.3747499328127941e-12,2.1425770778031607e-12,5.934381129252769e-13,6.314644779013536e-13,1.3681709117907435e-12,2.0903327416764344e-13,3.034986739033178e-13,4.82459285508616e-13,1.103082327742645e-13,1.8962908717658089e-13,3.3292394871578566e-13,3.110478141984716e-13,6.132866121515956e-13,1.637414233505686e-13,2.1967657401727765e-13,2.779378297226738e-13,8.411292791010523e-14,1.4193676399947645e-13,1.9835956062630414e-13,1.5063865505501738e-13
6.75,1.1098941153729253e-12,1.1807181221555159e-12,1.7229550384353635e-12,6.96878993371441e-13,9.13943653281887e-13,1.4341369876791755e-12,2.7548098700993347e-13,4.0003579587579114e-13,4.734836887167734e-13,1.2698844585045718e-13,2.359773321591854e-13,4.2407282511180726e-13,3.234280580206258e-13,5.908576079189116e-13,1.8403686549702275e-13,1.8368199913168063e-13,3.109007999203775e-13,1.1035875991679021e-13,1.3758080678553426e-13,2.1474505581588913e-13,1.2194006771727288e-13
7.0,1.0001146561843934e-12,1.0419740789820293e-12,1.3131210269541655e-12,8.660491978347394e-13,9.897962748689993e-13,1.5795818144924907e-12,3.760142901969026e-13,8.767181988766603e-13,7.137894935001156e-13,2.243799413601598e-13,2.9857441778436406e-13,5.781057483502455e-13,3.041431629366134e-13,5.474983723844478e-13,2.0816490601090885e-13,2.1042333377464482e-13,5.372240580599655e-13,1.649838553392858e-13,1.4412860959334e-13,3.3027910577684524e-13,1.2952579359777943e-13
7.25,1.2144606380441772e-12,1.2146767968839878e-12,1.4808362297784728e-12,8.423213233678286e-13,7.805052549386662e-13,1.4623872028374512e-12,3.9203080818812397e-13,1.1032974868076782e-12,8.509047416619831e-13,3.187291272225076e-13,3.6703665359787676e-13,7.51960721641957e-13,2.753235722232125e-13,6.24483794251428e-13,2.076966670499439e-13,2.2001431349606173e-13,5.862835986620197e-13,1.7379063092659706e-13,1.5346010694797196e-13,3.8109180099934416e-13,1.353150665296563e-13
7.5,1.3870637303989914e-12,1.3774886371129086e-12,1.798761108849846e-12,8.294828135555351e-13,8.637657041664919e-13,1.5220376551429293e-12,2.6265259641958116e-13,5.400984929823733e-13,5.012826052471267e-13,1.5189311944457184e-13,2.5846235997590187e-13,4.94598265020112e-13,2.7950404457043723e-13,6.632048311589322e-13,1.8548040123053475e-13,1.5055806397579226e-13,3.4930282380708494e-13,1.1397865529231684e-13,1.5667626402657157e-13,2.3386969237739936e-13,1.1742204449438052e-13
7.75,1.4477445439940729e-12,1.784795282929888e-12,2.13189143977411e-12,7.848768116319005e-13,1.0835800862639062e-12,1.2910982655941459e-12,2.7916793300925017e-13,4.052511772763404e-13,3.622916903057809e-13,9.947276780501563e-14,1.8101017007469065e-13,2.6803916207050167e-13,3.9168813147398217e-13,7.675954673567893e-13,1.9712232409385838e-13,1.4141343707746011e-13,2.0129151237044497e-13,1.0564785630083017e-13,1.5534962993464778e-13,1.87931806107719e-13,1.2254456557466167e-13
8.0,1.5971850084178614e-12,2.213107160917724e-12,2.410842352176879e-12,8.724823612982601e-13,1.1724193628280397e-12,1.2924602412013871e-12,2.5681506073801744e-13,3.9928022477162143e-13,3.6515605826985255e-13,1.1125186443793987e-13,2.1167933470122115e-13,3.1972562265530697e-13,3.688059878858997e-13,6.317459822388139e-13,1.8443214050524705e-13,1.636528846072351e-13,2.584450766443014e-13,9.892213888692335e-14,1.4178300177994747e-13,1.496512664369745e-13,1.3638555319699783e-13
8.25,2.39673527421704e-12,3.5597745957188877e-12,4.195599726785509e-12,1.0376913299772402e-12,1.1212602753138861e-12,1.5502418053795575e-12,2.636801237285199e-13,5.836725455899954e-13,5.344220623654793e-13,1.1241756723928533e-13,2.977097320402606e-13,5.18642112339085e-13,3.6975576303193566e-13,6.660921726257612e-13,2.0737241410515222e-13,2.0399643301417124e-13,4.987457846725874e-13,1.1514991365686946e-13,1.462494777619822e-13,2.574654544052447e-13,1.6368229747547063e-13
8.5,2.7601292561487504e-12,3.5931907919837204e-12,4.565708077063187e-12,1.1437526128925012e-12,1.291106541910557e-12,1.8109432476009289e-12,3.7928739225764683e-13,9.43301022181976e-13,1.1653842807564097e-12,2.0181156397729658e-13,4.713788170680529e-13,1.1241375203520993e-12,4.22766162454497e-13,7.013982637155713e-13,2.30958383734362e-13,2.031379115541413e-13,8.561164405467163e-13,1.248443358529758e-13,2.071504522183776e-13,5.757304001435908e-13,1.865558374472371e-13
8.75,1.9697415660138056e-12,2.8565107566639273e-12,2.97981631778549e-12,9.298964198018448e-13,1.0290795233175979e-12,1.4406470093004666e-12,3.049489457672316e-13,7.809238291480728e-13,1.2541627364909357e-12,2.359120105580168e-13,3.492550185932144e-13,1.0670374538795243e-12,3.0761451345006885e-13,5.550971838582585e-13,1.763588250708742e-13,1.9606483545828426e-13,6.84405340353439e-13,1.0553502568803305e-13,1.741540113168636e-13,4.741169611515194e-13,1.7801825199731199e-13
9.0,2.422315333474504e-12,2.928208333306265e-12,3.405840716871318e-12,7.485412614947532e-13,8.324993262144982e-13,1.1539314234899056e-12,2.5055037580524164e-13,4.1366461315662557e-13,5.883512446017482e-13,1.1797876348198734e-13,2.116455819443934e-13,4.337372885611376e-13,2.2882968304426427e-13,4.686934738350958e-13,1.2641495347230082e-13,1.9355154649240585e-13,2.7411214349354226e-13,9.074788409508047e-14,1.4143851886187636e-13,2.2174925569536577e-13,1.2533124744516902e-13
9.25,2.9705273467022336e-12,2.94334360232571e-12,3.917361772320523e-12,8.225367372744432e-13,8.491718788065688e-13,1.2629304528787168e-12,2.64880158258303e-13,3.421920896916282e-13,4.060695623462494e-13,1.1462837096576483e-13,2.2295273653862677e-13,3.0720837118932016e-13,2.0630993194951613e-13,4.1470251911592027e-13,1.3109287006945114e-13,1.6042516133392016e-13,2.0435773587131258e-13,8.174067991889502e-14,1.530048671342346e-13,1.805071186178973e-13,1.0414208571523661e-13
9.5,3.663054502922505e-12,3.2256415111799006e-12,4.661411846914663e-12,8.412177243071166e-13,8.73481577310461e-13,1.461526385400426e-12,2.4320833982981234e-13,3.3822637719123804e-13,3.473329479050641e-13,1.1516769914125159e-13,2.5130527848415816e-13,3.138086801921716e-13,2.0613784883640382e-13,3.665034726762273e-13,1.3199682762134652e-13,1.389835573055502e-13,1.9950510117132841e-13,6.690342887688304e-14,1.3174806169490488e-13,1.5208452260432582e-13,1.0887563922373149e-13
9.75,4.8327067657623156e-12,3.6869135225941574e-12,5.6400136789584825e-12,7.515652830081532e-13,8.147948605924622e-13,1.2829568549901391e-12,1.9578803312651379e-13,3.3153489408166944e-13,3.3914856209069893e-13,1.1223827503220993e-13,2.0127063025534686e-13,2.832372613048689e-13,2.1450111102939622e-13,3.99373284020594e-13,1.1508155024466458e-13,1.2990828768061067e-13,2.4200036761919037e-13,6.764037299249021e-14,1.0169227027278799e-13,1.513328073673061e-13,1.0895534779929175e-13
10.0,5.0441234201648434e-12,4.354941791615776e-12,5.704243447286001e-12,6.387864160361517e-13,6.433401683377914e-13,9.344512739964056e-13,2.475124658199058e-13,4.0128620512546985e-13,4.139021709607753e-13,1.3461678066332745e-13,1.7488235333396656e-13,2.705998669223633e-13,1.9535540132408047e-13,4.2483803115916337e-13,1.2847816830578854e-13,1.5590572172679903e-13,3.263035694084669e-13,7.291462650516196e-14,1.2286475042898408e-13,1.9163880208073786e-13,1.183254679468712e-13
10.25,3.371145072756064e-12,2.7122906954169387e-12,3.796069132801527e-12,6.210433974348801e-13,6.439116884828474e-13,9.199809122994022e-13,2.601593602156959e-13,3.116708897387145e-13,3.528932605545226e-13,1.1736769680445455e-13,1.627268508683499e-13,2.5972700289382693e-13,1.9411086615402177e-13,3.800566221632562e-13,1.2273128809830822e-13,1.4184696455544276e-13,2.7637327516055375e-13,7.089401547525154e-14,1.0527318216231944e-13,1.7914195447198095e-13,1.0132152204929797e-13
10.5,1.6663760595624904e-12,1.8104618274220975e-12,1.9577696694872e-12,6.020379965445464e-13,6.409993051035706e-13,8.788376719296264e-13,1.9306621276352926e-13,2.5499407773122885e-13,2.699711312033496e-13,8.754988531048892e-14,1.4523298359422073e-13,1.9329384308868758e-13,1.7151002718296862e-13,2.8803024400961847e-13,9.116717517236116e-14,1.02624248760153e-13,2.0056395123134714e-13,6.547199194121993e-14,8.2355535570173e-14,1.2589943227116842e-13,7.970388866926479e-14
10.75,1.4632156404983872e-12,1.891412257313184e-12,1.904857651340352e-12,4.225506012952279e-13,4.3145344867974903e-13,5.966715049262292e-13,1.7418891773486705e-13,2.6978180254440344e-13,2.1972477758097721e-13,7.059189695215247e-14,1.1895229716724384e-13,1.490173616648433e-13,1.696392472840437e-13,2.9083001266181084e-13,8.953866912104334e-14,1.0341650731467946e-13,1.3685415609483562e-13,7.040626931198875e-14,1.1160615099398754e-13,1.1828821177905166e-13,5.874338373907201e-14
11.0,1.3087406306496485e-12,1.5062915738185134e-12,1.7112722759792493e-12,4.390977544008484e-13,4.580703441824878e-13,6.482999294867664e-13,1.658445339129446e-13,2.3675322702415303e-13,2.2034583789948617e-13,6.943472427766964e-14,1.5951323161266252e-13,1.8533349823651705e-13,1.7191395271229784e-13,3.0938662262635053e-13,7.821332236541437e-14,1.1989248342510532e-13,1.5045881780943458e-13,7.372442361292215e-14,9.758371314421412e-14,1.0147896029931702e-13,7.727431439879871e-14
11.25,1.123281573623534e-12,1.385057433752887e-12,1.3939691751999847e-12,4.121063549265149e-13,4.3157584731423683e-13,7.640461986122337e-13,1.4384099543417326e-13,2.50525353392801e-13,3.0954866880928424e-13,6.569322935894779e-14,1.4540682457599273e-13,2.0870282998066773e-13,1.3246037476074196e-13,2.6678126853442754e-13,7.943958657767191e-14,1.138102666310496e-13,1.5215796549745714e-13,5.492311483147654e-14,9.111527912197242e-14,1.0920111080968944e-13,7.71817743238428e-14
11.5,1.0746719484184394e-12,1.4761208253967838e-12,1.4882232170155797e-12,4.1160839244179865e-13,4.251475550388516e-13,7.715994640293845e-13,1.4305879996613753e-13,2.583280441950821e-13,3.848729382386699e-13,8.881394373038733e-14,1.6082757078673182e-13,3.1706012956900864e-13,1.562080281392954e-13,2.891719598557963e-13,9.722478681400887e-14,1.1015993933841204e-13,1.6925204878050895e-13,5.974416660541245e-14,7.898246823362509e-14,1.1844209623347052e-13,6.467639096283069e-14
11.75,1.126416902122302e-12,1.421200664596804e-12,1.5139208094587929e-12,4.574712073217633e-13,4.282443032790329e-13,8.463211185696653e-13,1.2165758778559146e-13,2.2850850968580504e-13,3.426635041731169e-13,9.387589183915263e-14,1.6592020073822826e-13,3.1789713876779687e-13,1.4294465488918145e-13,2.9019293493512686e-13,7.871735526510143e-14,1.0388939522770546e-13,1.312539880248538e-13,4.7518149563176277e-14,8.497951113388354e-14,1.1666068872852355e-13,6.82778732358666e-14
12.0,9.42990167685823e-13,1.00921703574866e-12,1.1041607766133349e-12,3.960597362737159e-13,3.8970865145119124e-13,7.543269903598937e-13,9.741286814923072e-14,1.7401640508268296e-13,1.879326802694662e-13,5.795018722006767e-14,1.138287907743539e-13,1.657099505151384e-13,1.4714354304577069e-13,2.7684681196681707e-13,6.728712589792352e-14,7.011871395041584e-14,7.875195346576436e-14,3.9015178441787986e-14,8.06091230969646e-14,9.32737051783807e-14,5.763285544626784e-14
12.25,1.0972909757600578e-12,1.3056277222331657e-12,1.3099494333127578e-12,3.7441148990969144e-13,3.992184432869899e-13,6.11763195611424e-13,1.0062295959404034e-13,1.6014139049233478e-13,2.340184834145925e-13,6.375097128050092e-14,1.2009133445395645e-13,1.7217124663196352e-13,1.310483769112592e-13,2.028352106396891e-13,6.439751460953648e-14,7.249051840939368e-14,8.958540415796478e-14,4.729871758985794e-14,6.54870079169069e-14,7.381374707330289e-14,6.657942094524874e-14
12.5,1.1611255374494967e-12,1.4748108201711954e-12,1.4825937977213588e-12,3.85582976530267e-13,4.1612453859326563e-13,6.255808882403812e-13,1.2798710844972618e-13,1.8187915961137584e-13,3.097699105147948e-13,7.471916453134992e-14,1.222365674251434e-13,2.1204905568168103e-13,1.299865939315523e-13,2.35898521175028e-13,8.350326577316207e-14,9.10333795288102e-14,1.140691911560986e-13,4.994538577126755e-14,7.109226455938611e-14,9.068213280797735e-14,5.907820366538673e-14
12.75,1.204605019689423e-12,1.6355366836713877e-12,1.5239966578768654e-12,4.663561121066976e-13,4.3934364548541615e-13,6.992377315217896e-13,1.4111611076282036e-13,1.9030367522537095e-13,4.841049864436334e-13,6.80695819120674e-14,1.21811992843833e-13,3.1551392242309104e-13,9.815167148083102e-14,2.115267576118236e-13,6.665183610354772e-14,8.725654088091806e-14,1.332360570039584e-13,5.137744231502222e-14,7.404773738730004e-14,1.1401770100252176e-13,5.4591460291360865e-14
13.0,1.3531938562019834e-12,1.8013186291883966e-12,1.7483654172631684e-12,3.848349965742439e-13,3.720965385179004e-13,6.461106092636156e-13,1.6885262918957957e-13,2.1118101725431813e-13,4.684443573796215e-13,6.410942012756298e-14,1.2455355839760636e-13,3.3615829039205523e-13,9.910998782053056e-14,1.9295186897403316e-13,7.05174595695539e-14,8.12566882800494e-14,9.748627486435338e-14,5.061061379598659e-14,8.645176914070954e-14,1.3303957932542167e-13,5.3125141053596384e-14
13.25,1.0991923232038143e-12,1.4520601974482618e-12,1.3818203514666167e-12,3.2564711369226693e-13,3.319217855244712e-13,6.377011693604784e-13,1.3248364332306607e-13,1.9687463152111985e-13,3.008596371598507e-13,5.2692942936574177e-14,1.1336860031332321e-13,2.5321815659047605e-13,1.1737889986763679e-13,2.0749845385734718e-13,7.369922436517221e-14,7.788095652447016e-14,8.973561457378147e-14,3.979804259276493e-14,8.058890108528301e-14,1.1282919515585592e-13,5.798604681164549e-14
13.5,1.32119609072853e-12,1.596366058014427e-12,1.531270213728134e-12,3.586849847198972e-13,3.4202606980109363e-13,6.197867484496434e-13,1.213603667044245e-13,1.7079107168590134e-13,1.474326782635109e-13,6.429334184554182e-14,1.0462918001562751e-13,1.7010898767931017e-13,1.0975310741165603e-13,2.2209741341643355e-13,6.733274121684906e-14,7.256000284078929e-14,9.072522753641314e-14,3.195881926927562e-14,6.982414669932653e-14,1.0596311560520904e-13,4.920880756738776e-14
13.75,1.2221670155883207e-12,1.771857047889187e-12,1.4699453649983566e-12,3.856075031591382e-13,4.304246240061838e-13,6.67575748920943e-13,9.186010219822313e-14,1.3297859538959178e-13,1.5135740924443104e-13,5.895163970304648e-14,9.600777754783789e-14,1.7713759705789804e-13,1.1203744159495134e-13,2.421223483520027e-13,6.373276790605414e-14,5.574494704305444e-14,8.808369002527994e-14,3.3678466106928455e-14,7.721327032498925e-14,9.905427614920205e-14,4.9101780093192224e-14
14.0,1.4174678799139256e-12,1.7770801532929263e-12,1.5994616249832747e-12,3.0891802703129904e-13,4.0977515712495103e-13,5.325324669824038e-13,1.091535228188974e-13,1.61174490134899e-13,2.0948905770141363e-13,6.475293668231412e-14,1.0315778588872557e-13,1.9686938105364454e-13,1.0406396342052489e-13,2.1106514904572067e-13,6.215000187690747e-14,1.084256003988529e-13,1.697775473799516e-13,3.4613782712853435e-14,9.208307626953575e-14,1.3404057196749618e-13,5.5755196118889335e-14
14.25,1.2799244762148513e-12,1.2739069567118245e-12,1.3663520067848184e-12,2.4068183698944275e-13,3.5049034288047243e-13,4.4217989943886946e-13,1.4827853251993253e-13,2.2495687447415822e-13,2.6123395193944056e-13,6.124040831332562e-14,9.810256612622176e-14,2.061176332130628e-13,9.387519267561272e-14,1.9700715206279254e-13,6.134103800362691e-14,1.6286049431689136e-13,2.562545472966831e-13,4.164751553672397e-14,1.095370553125998e-13,1.5816485602740542e-13,5.5186121549491124e-14
14.5,1.126158761187383e-12,1.2376860446665324e-12,1.1887664248578115e-12,3.1702264384612845e-13,4.225336813050712e-13,5.739302912023289e-13,1.430195658465242e-13,1.68810630090177e-13,2.3297435167043324e-13,6.557468933592628e-14,8.86499335582241e-14,2.1038347702703693e-13,8.542119181654688e-14,1.7880683861796427e-13,6.953533773734234e-14,1.868725349594753e-13,2.7104164638982426e-13,4.6638481395414294e-14,9.833072788282035e-14,1.3304359578569486e-13,5.531274553156187e-14
